Wall time,Step,Value
1738700662.0253627,5,2.7444546222686768
1738700663.8663146,20,2.9685189723968506
1738700665.9367728,37,3.4599058628082275
1738700666.913068,45,2.754204034805298
1738700668.054117,55,2.803217649459839
1738700668.6238146,60,3.4109153747558594
1738700674.0906465,83,3.7800819873809814
1738700674.948951,90,2.765787363052368
1738700675.304863,93,3.252342700958252
1738700675.9094417,98,3.2968180179595947
1738700676.6392376,104,3.161151885986328
1738700677.4817986,111,2.7374556064605713
1738700679.0314455,124,3.141049861907959
1738700679.1457858,125,2.9393627643585205
1738700679.3740711,127,3.7063422203063965
1738700680.7418926,139,4.085742473602295
1738700681.5418055,146,3.1329731941223145
1738700681.6581626,147,4.183155536651611
1738700681.7730927,148,3.674785614013672
1738700686.6139016,165,3.635406017303467
1738700686.8572972,167,4.180990219116211
1738700687.4661899,172,3.5138285160064697
1738700687.9528592,176,4.644036293029785
1738700688.558659,181,4.081449508666992
1738700689.5266192,189,4.5895915031433105
1738700690.7131138,199,3.6225333213806152
1738700691.758957,208,4.28783655166626
1738700692.5701258,215,4.837987899780273
1738700693.2646868,221,4.396562576293945
1738700696.9322393,229,4.20786190032959
1738700699.9390194,254,4.328256607055664
1738700700.8060608,261,4.091859817504883
1738700701.0459752,263,3.9264070987701416
1738700701.168158,264,4.0783562660217285
1738700703.2756405,282,5.036059379577637
1738700703.7408545,286,4.523347854614258
1738700704.7828615,295,4.318777561187744
1738700709.5237558,311,4.1909260749816895
1738700711.196791,325,5.2097883224487305
1738700713.2579834,342,4.773097038269043
1738700714.5385199,353,4.6043314933776855
1738700715.455768,361,4.197789192199707
1738700716.4840283,370,4.384381294250488
1738700742.0825832,377,4.41536283493042
1738700742.8336034,383,4.257559299468994
1738700743.8231204,391,5.010338306427002
1738700743.9488208,392,4.20423698425293
1738700744.3148286,395,4.614234924316406
1738700744.6788063,398,4.4603729248046875
1738700745.0435407,401,4.250025749206543
1738700745.7763696,407,4.571615695953369
1738700746.0186973,409,3.8662376403808594
1738700746.866243,416,4.332273006439209
1738700748.171685,427,4.287619590759277
1738700748.4038987,429,4.430809497833252
1738700754.5315335,457,4.791788101196289
1738700756.6825187,475,4.89219331741333
1738700757.285827,480,4.356694221496582
1738700759.3490977,497,5.401843547821045
1738700759.8064177,501,4.812016010284424
1738700760.0341635,503,4.759058952331543
1738700761.9822495,520,4.9451117515563965
1738700765.8311975,529,5.416187286376953
1738700765.9515953,530,4.905617713928223
1738700766.4435694,534,5.210166931152344
1738700768.014913,547,4.8501763343811035
1738700768.6268787,552,4.354126453399658
1738700769.4856362,559,4.451499938964844
1738700769.8405921,562,4.340586185455322
1738700769.9597561,563,4.776671409606934
1738700770.6818829,569,4.22374963760376
1738700771.6009185,577,4.68441104888916
1738700772.0609434,581,5.840375900268555
1738700772.6336215,586,4.778465747833252
1738700773.091135,590,4.709463119506836
1738700777.4819174,604,4.6433892250061035
