Wall time,Step,Value
1738698714.296304,5,1.9121013879776
1738698716.1553633,20,0.9319060444831848
1738698718.2306063,37,1.0132781267166138
1738698719.2356665,45,0.88701993227005
1738698720.3824434,55,0.7102400064468384
1738698720.9571772,60,0.9633219242095947
1738698726.4044583,83,0.8788434863090515
1738698727.2530732,90,0.8403792977333069
1738698727.617111,93,0.9829699397087097
1738698728.2268913,98,0.9663942456245422
1738698728.955339,104,0.9333068132400513
1738698729.8210788,111,0.8615561723709106
1738698731.3884594,124,1.059317946434021
1738698731.5059114,125,1.0897893905639648
1738698731.7381835,127,1.136557698249817
1738698733.133139,139,1.2004988193511963
1738698733.9502292,146,0.9986773729324341
1738698734.0659244,147,1.347088098526001
1738698734.1817808,148,1.0973312854766846
1738698739.031278,165,1.1447728872299194
1738698739.2771394,167,1.2496780157089233
1738698739.87704,172,1.1324955224990845
1738698740.3712769,176,1.2257174253463745
1738698740.9804869,181,1.2401070594787598
1738698741.9493713,189,1.2338752746582031
1738698743.1324384,199,1.1712652444839478
1738698744.1710765,208,1.2331254482269287
1738698744.9816113,215,1.22393000125885
1738698745.6696787,221,1.303407073020935
1738698749.401342,229,1.293508529663086
1738698752.4762135,254,1.1643922328948975
1738698753.342666,261,1.4156312942504883
1738698753.58554,263,1.1824105978012085
1738698753.7030249,264,1.0275928974151611
1738698755.8437343,282,1.2931885719299316
1738698756.311521,286,1.180602788925171
1738698757.3454592,295,1.270986795425415
1738698762.0373487,311,1.1057332754135132
1738698763.7463834,325,1.180021047592163
1738698765.7939615,342,1.0976532697677612
1738698767.082317,353,1.2287415266036987
1738698768.0112662,361,1.2814536094665527
1738698769.0601187,370,1.3009202480316162
1738698794.512936,377,1.2620457410812378
1738698795.2905762,383,1.2421908378601074
1738698796.2600274,391,1.3227943181991577
1738698796.3801143,392,1.1118545532226562
1738698796.7385197,395,1.3136394023895264
1738698797.0985587,398,1.303346037864685
1738698797.4577405,401,1.2246049642562866
1738698798.1924973,407,1.116144061088562
1738698798.4355073,409,1.0926215648651123
1738698799.2852983,416,1.1110917329788208
1738698800.5752826,427,1.4012460708618164
1738698800.8054707,429,1.2328543663024902
1738698806.8828866,457,1.1737942695617676
1738698809.0953913,475,1.1238172054290771
1738698809.7029424,480,1.2613179683685303
1738698811.7664092,497,1.364177942276001
1738698812.2295787,501,1.265538215637207
1738698812.4587848,503,1.37755286693573
1738698814.4073484,520,1.3015925884246826
1738698818.4264772,529,1.3732867240905762
1738698818.5601194,530,1.199240803718567
1738698819.0430725,534,1.345004916191101
1738698820.6248658,547,1.3096997737884521
1738698821.2360837,552,1.1703726053237915
1738698822.0948107,559,1.1349564790725708
1738698822.4644194,562,1.5465632677078247
1738698822.5854518,563,1.132765293121338
1738698823.3236802,569,1.1969261169433594
1738698824.253384,577,1.3717830181121826
1738698824.7136338,581,1.5037091970443726
1738698825.2936094,586,1.4149023294448853
1738698825.7619047,590,1.1600600481033325
1738698830.190186,604,1.2092516422271729
1738698830.310427,605,1.2521710395812988
1738698831.4210527,614,1.3416272401809692
1738698831.6688738,616,1.0599724054336548
1738698831.7851644,617,1.3749712705612183
1738698833.7188642,633,1.2756198644638062
1738698835.5179982,648,1.5141757726669312
1738698837.3617418,664,1.4816006422042847
1738698838.2782385,672,1.597437858581543
1738698840.9379678,675,1.3871850967407227
1738698841.3416882,676,1.325791835784912
1738698842.2539907,682,1.1584255695343018
1738698842.4919364,684,1.3025225400924683
1738698842.6095552,685,1.6454280614852905
1738698843.2176757,690,1.5643362998962402
1738698845.8924067,712,1.302515983581543
1738698846.8586347,720,1.3756721019744873
1738698848.25642,732,1.249765157699585
1738698848.9514296,738,1.504573941230774
1738698849.5297437,743,1.1692941188812256
1738698850.2273679,749,1.219728708267212
1738698876.1201026,762,1.5619221925735474
1738698878.073352,778,1.4137688875198364
1738698878.9301298,785,1.5283534526824951
1738698879.0551496,786,1.3401345014572144
1738698882.677643,817,1.457570195198059
1738698883.2526405,822,1.332925796508789
1738698887.9258223,838,1.4869929552078247
1738698888.4196093,842,1.4673993587493896
1738698890.1503048,856,1.5848450660705566
1738698890.6417885,860,1.4537464380264282
1738698891.6126952,868,1.3366997241973877
1738698892.307338,874,1.464776873588562
1738698892.536611,876,1.3454726934432983
1738698893.1118243,881,1.7439963817596436
1738698893.685695,886,1.3094438314437866
1738698894.027101,889,1.523584008216858
1738698894.597288,894,1.346139669418335
1738698898.3444252,902,1.522355318069458
1738698898.4896462,903,1.3612898588180542
1738698899.3403301,910,1.360664963722229
1738698899.9480662,915,1.5527336597442627
1738698902.1378644,933,1.3829081058502197
1738698903.4991996,944,1.5834816694259644
1738698903.9655237,948,1.6195043325424194
1738698904.5434299,953,1.8693184852600098
1738698905.700597,963,1.499199390411377
1738698909.7428796,976,1.7701412439346313
1738698911.8024542,991,1.4820016622543335
1738698912.5317798,997,1.6596815586090088
1738698913.884535,1008,1.3958146572113037
1738698918.695691,1049,1.5922071933746338
1738698923.3578606,1065,1.5989840030670166
1738698923.4768023,1066,1.6114699840545654
1738698923.8414023,1069,1.7061868906021118
1738698925.1934679,1080,1.4707111120224
1738698927.0225904,1095,1.6320184469223022
1738698928.775046,1110,1.6302490234375
1738698929.3614473,1115,1.8583483695983887
1738698930.27971,1123,1.8969316482543945
1738698956.1502795,1136,1.7853519916534424
1738698957.868981,1150,1.4375954866409302
1738698958.6261356,1156,1.862151861190796
1738698959.1268175,1160,1.7118138074874878
1738698959.6208081,1164,1.6714199781417847
1738698963.1145017,1194,1.9950170516967773
1738698963.2288764,1195,1.8680952787399292
1738698967.1305108,1204,1.8389822244644165
1738698968.712301,1217,1.6718400716781616
1738698969.194296,1221,1.6610314846038818
1738698969.4540427,1223,1.6870379447937012
1738698969.8196065,1226,1.7538493871688843
1738698970.547275,1232,1.922921895980835
1738698971.6649814,1241,1.8244901895523071
1738698972.1598878,1245,1.5585987567901611
1738698972.5071182,1248,1.9473999738693237
1738698972.9685967,1252,1.5275087356567383
1738698974.0016882,1261,1.5048249959945679
1738698974.2288141,1263,1.6075817346572876
1738698975.1503742,1271,1.6881847381591797
1738698981.4691286,1300,1.8601857423782349
1738698984.9377193,1329,1.4702023267745972
1738698985.051895,1330,1.6752222776412964
1738698985.2826097,1332,1.8884272575378418
1738698986.5505683,1343,1.8448882102966309
1738698990.1281009,1351,1.8699122667312622
1738698992.2261267,1366,1.7771152257919312
1738698996.2217872,1399,1.8997513055801392
1738698996.8016193,1404,1.9537980556488037
1738698998.199527,1416,1.6902906894683838
1738698998.6628249,1420,2.0390684604644775
1738698999.0100183,1423,1.7329400777816772
1738699003.1724262,1432,1.9550453424453735
1738699003.7766576,1437,2.04203200340271
1738699004.5144246,1443,2.045344352722168
1738699004.635681,1444,1.6668492555618286
1738699005.7204437,1453,1.7158896923065186
1738699009.0556717,1481,1.7776424884796143
1738699009.750131,1487,1.828683853149414
1738699009.865556,1488,1.6632905006408691
1738699010.4387422,1493,1.8212075233459473
1738699036.50586,1506,1.7654972076416016
1738699036.7495906,1508,2.058176279067993
1738699037.5886972,1515,1.867764949798584
1738699037.7121582,1516,1.9202111959457397
1738699038.8205142,1525,1.708899736404419
1738699039.1710687,1528,2.0906822681427
1738699040.6465917,1540,1.8997306823730469
1738699041.2594419,1545,2.0092689990997314
1738699041.491622,1547,2.111564874649048
1738699043.6964478,1566,1.8380831480026245
1738699047.703794,1576,1.7844043970108032
1738699048.3463519,1581,1.7399500608444214
1738699048.593065,1583,1.8159656524658203
1738699050.9238234,1602,2.352069854736328
1738699051.1681628,1604,1.8078186511993408
1738699051.41481,1606,1.7398555278778076
1738699051.534692,1607,1.7584153413772583
1738699052.1481311,1612,1.9861937761306763
1738699053.1247883,1620,1.9532020092010498
1738699053.5855556,1624,1.6929190158843994
1738699053.81788,1626,1.7923541069030762
1738699053.933287,1627,1.8968178033828735
1738699059.9359486,1655,2.0081584453582764
1738699065.394079,1700,1.7462893724441528
1738699068.1609414,1724,1.9304343461990356
1738699072.438384,1736,1.9513041973114014
1738699074.496084,1753,1.8569031953811646
1738699074.8571098,1756,1.9320586919784546
1738699075.6039672,1762,1.9572994709014893
1738699076.0969267,1766,2.191317081451416
1738699079.1322422,1792,1.8712948560714722
1738699079.2465081,1793,1.9437005519866943
1738699084.2026012,1811,2.096785306930542
1738699085.6656866,1823,1.9107729196548462
1738699086.5167844,1830,1.9891141653060913
1738699088.7134976,1848,2.063270330429077
1738699089.7543023,1857,2.416329860687256
1738699090.5675683,1864,2.100625514984131
1738699091.2652988,1870,1.9431967735290527
1738699091.3816445,1871,1.8522413969039917
1738699116.2824132,1875,1.8129823207855225
1738699117.5298467,1885,2.0456900596618652
1738699117.7686982,1887,2.058056354522705
1738699119.2459166,1899,1.9347249269485474
1738699120.2311032,1907,2.0648534297943115
1738699121.7020252,1919,1.7322410345077515
1738699129.7313857,1963,2.360295534133911
1738699132.288535,1984,1.7846518754959106
1738699132.648971,1987,2.012265682220459
1738699133.1361947,1991,2.097672939300537
1738699134.0835927,1999,1.991731882095337
1738699135.3663478,2010,2.1831936836242676
1738699142.1639955,2043,1.9332592487335205
1738699142.2850127,2044,1.752156376838684
1738699144.4719179,2062,2.0124895572662354
1738699144.7176619,2064,1.9514139890670776
1738699145.085758,2067,2.086498260498047
1738699145.5691874,2071,1.809154987335205
1738699146.9440093,2083,1.8681249618530273
1738699154.8810596,2126,1.7816139459609985
1738699156.2231157,2137,1.742383360862732
1738699158.720662,2158,1.9274389743804932
1738699159.0695632,2161,1.7360968589782715
1738699159.538163,2165,2.1325523853302
1738699163.5761862,2176,2.204575300216675
1738699164.5452352,2183,2.0222198963165283
1738699167.7197227,2209,1.8660366535186768
1738699169.7653751,2226,2.0699687004089355
1738699170.003091,2228,2.3281025886535645
1738699170.2375183,2230,2.236772298812866
1738699172.121739,2246,2.0586061477661133
1738699196.5712729,2250,2.108597755432129
1738699197.06604,2254,1.7759867906570435
1738699199.8977242,2277,1.9434013366699219
1738699200.6312275,2283,2.234459161758423
1738699200.754112,2284,1.8318806886672974
1738699201.5039053,2290,2.372687339782715
1738699203.1471622,2304,1.995785117149353
1738699203.377514,2306,2.324990749359131
1738699203.6056943,2308,1.7982228994369507
1738699204.9894452,2320,1.733833909034729
1738699205.218333,2322,1.963598370552063
1738699212.4243078,2358,1.6805363893508911
1738699212.9084,2362,2.0566978454589844
1738699214.7018495,2377,1.9607055187225342
1738699215.0479245,2380,2.087401866912842
1738699216.2048962,2390,1.9049655199050903
1738699216.4372478,2392,2.1822128295898438
1738699216.7837179,2395,2.005469799041748
1738699220.7200556,2405,1.9400224685668945
1738699221.7114766,2413,2.143707752227783
1738699222.5626018,2420,2.018796682357788
1738699226.4099176,2452,1.6668107509613037
1738699227.4407494,2461,2.1352665424346924
1738699232.244231,2477,2.1579976081848145
1738699232.362849,2478,1.9492663145065308
1738699235.872912,2507,2.0608575344085693
1738699235.9898858,2508,2.3786346912384033
1738699237.5860922,2521,2.0590476989746094
