cls,variance
0,2.111732244491577
1,1.7798290252685547
2,2.2900290489196777
3,0.7557975053787231
4,1.5391218662261963
5,2.4119224548339844
6,1.21274733543396
7,1.4292999505996704
8,1.8264966011047363
9,3.4530670642852783
10,1.3002220392227173
11,2.655673027038574
12,1.8735859394073486
13,1.9348881244659424
14,2.511768102645874
15,2.320613145828247
16,2.3596296310424805
17,2.116446018218994
18,1.196975588798523
19,1.8494027853012085
20,1.2853642702102661
21,0.8429579138755798
22,2.3027286529541016
23,2.896040201187134
24,2.8206472396850586
25,2.100316047668457
26,2.5280261039733887
27,2.64076566696167
28,2.646933078765869
29,1.6813247203826904
30,1.6457524299621582
31,2.449276924133301
32,3.465238094329834
33,2.414080858230591
34,2.528608798980713
35,2.3219175338745117
36,2.925053358078003
37,3.0527329444885254
38,0.9729087948799133
39,2.6881649494171143
40,2.7302005290985107
41,2.3294293880462646
42,1.8654361963272095
43,2.9934961795806885
44,1.1368443965911865
45,2.2038891315460205
46,2.776405096054077
47,1.4270689487457275
48,2.2344818115234375
49,1.547881007194519
50,1.1724203824996948
51,1.42949640750885
52,2.8976993560791016
53,2.612605571746826
54,2.388232469558716
55,1.9555526971817017
56,1.4992702007293701
57,1.760166883468628
58,2.0495288372039795
59,1.578726053237915
60,1.2255358695983887
61,1.7405500411987305
62,1.4996484518051147
63,1.1816325187683105
