cls,variance
0,22.569067001342773
1,18.55197525024414
2,19.215831756591797
3,14.596120834350586
4,15.258153915405273
5,21.06682014465332
6,13.05081558227539
7,8.900055885314941
8,14.278538703918457
9,16.07719612121582
10,13.840456008911133
11,13.654082298278809
12,12.427739143371582
13,17.141597747802734
14,14.530288696289062
15,12.298652648925781
16,12.069070816040039
17,18.57231330871582
18,21.57036018371582
19,14.840123176574707
20,13.429515838623047
21,15.099934577941895
22,12.21749496459961
23,23.151453018188477
24,21.438549041748047
25,14.794452667236328
26,19.656757354736328
27,19.766023635864258
28,18.3300838470459
29,11.08399772644043
30,10.828374862670898
31,16.57004165649414
32,19.400354385375977
33,16.594820022583008
34,14.062206268310547
35,19.227283477783203
36,20.22597885131836
37,17.245031356811523
38,18.457120895385742
39,14.13670825958252
40,17.41686248779297
41,14.31531810760498
42,11.132946014404297
43,13.534109115600586
44,12.240761756896973
45,12.855886459350586
46,13.217788696289062
47,10.777886390686035
48,12.884188652038574
49,16.332984924316406
50,13.690759658813477
51,11.757278442382812
52,17.110462188720703
53,16.18332290649414
54,14.695280075073242
55,13.354365348815918
56,14.565567970275879
57,21.880617141723633
58,15.99032211303711
59,13.5126953125
60,15.419586181640625
61,9.897911071777344
62,13.141801834106445
63,26.749937057495117
